Date,Sales
2020-09-07,10177.57
2020-09-14,8462.16
2020-09-21,8383.59
2020-09-28,5060.02
2020-10-05,7611.11
2020-10-12,9553.43
2020-10-19,9438.72
2020-10-26,5454.25
2020-11-02,9947.11
2020-11-09,9234.31
2020-11-16,10479.630000000001
2020-11-23,6685.82
2020-11-30,6031.11
2020-12-07,8431.13
2020-12-14,7191.18
2020-12-21,7108.19
2020-12-28,7527.849999999999
2021-01-04,9340.24
2021-01-11,10048.57
2021-01-18,8792.61
2021-01-25,4409.25
2021-02-01,10396.4
2021-02-08,10063.67
2021-02-15,9067.22
2021-02-22,2717.0499999999997
2021-03-01,8310.2
2021-03-08,9549.77
2021-03-15,8412.94
2021-03-22,8903.07
2021-03-29,4618.55
2021-04-05,8742.98
2021-04-12,8138.2
2021-04-19,7143.58
2021-04-26,4422.8
2021-05-03,8093.71
2021-05-10,7774.01
2021-05-17,6841.05
2021-05-24,4502.12
2021-05-31,6060.78
2021-06-07,6823.34
2021-06-14,7136.42
2021-06-21,7972.88
2021-06-28,4644.57
2021-07-05,10021.789999999999
2021-07-12,9801.0
2021-07-19,7148.09
2021-07-26,4300.24
2021-08-02,8651.76
2021-08-09,8861.3
2021-08-16,7505.96
2021-08-23,5712.23
2021-08-30,7686.63
2021-09-06,9162.37
2021-09-13,7802.55
2021-09-20,8022.34
2021-09-27,9857.31
2021-10-04,8033.63
2021-10-11,7353.31
2021-10-18,9944.17
2021-10-25,2412.31
2021-11-01,8566.83
2021-11-08,7674.21
2021-11-15,7878.5
2021-11-22,6241.28
2021-11-29,4699.099999999999
2021-12-06,6213.52
2021-12-13,5542.64
2021-12-20,6148.92
2021-12-27,2200.28
2022-01-03,7778.29
2022-01-10,8270.01
2022-01-17,7067.14
2022-01-24,1391.6699999999998
2022-01-31,5212.7699999999995
2022-02-07,5991.22
2022-02-14,5622.22
2022-02-21,4984.26
2022-02-28,4869.65
2022-03-07,5430.8
2022-03-14,7220.12
2022-03-21,6935.05
2022-03-28,7152.76
2022-04-04,4423.51
2022-04-11,4462.86
2022-04-18,3895.59
2022-04-25,3962.15
2022-05-02,4677.5199999999995
2022-05-09,4561.14
2022-05-16,3563.89
2022-05-23,3416.46
2022-05-30,1820.78
2022-06-06,3647.44
2022-06-13,7090.71
2022-06-20,8052.9400000000005
2022-06-27,8781.33
2022-07-04,5463.9
2022-07-11,4826.81
2022-07-18,5728.37
2022-07-25,4676.42
2022-08-01,3627.03
2022-08-08,3298.9700000000003
2022-08-15,6572.24
2022-08-22,9887.32
2022-08-29,6815.5
2022-09-05,8273.61
2022-09-12,5511.21
